BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
437545,VISA,DEBIT,BUSINESS,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT
437548,VISA,DEBIT,PREPAID CORPORATE T&E,MAJID AL FUTTAIM FINANCE,,,AE,ARE,UNITED ARAB EMIRATES
437556,VISA,CREDIT,SIGNATURE,MIDBANK S.A.E,,,EG,EGY,EGYPT
437569,VISA,DEBIT,ELECTRON,BANKMUSCAT LTD. (S.A.O.G.),,,OM,OMN,OMAN
437974,VISA,CREDIT,PLATINUM,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437975,VISA,CREDIT,INFINITE,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437976,VISA,CREDIT,SIGNATURE,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437977,VISA,CREDIT,SIGNATURE,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437978,VISA,CREDIT,ULTRA HIGH NET WORTH,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437979,VISA,CREDIT,SIGNATURE,BANQUE SAUDI FRANSI,966 1 289 9999 OR 966 1 874 4000,http://www.alfransi.com.sa,SA,SAU,SAUDI ARABIA
437991,VISA,DEBIT,PREPAID,,,,LB,LBN,LEBANON
438083,VISA,CREDIT,GOLD,SOHAR INTERNATIONAL BANK (S.A.O.G),,,OM,OMN,OMAN
438123,VISA,CREDIT,PLATINUM,BURGAN BANK (S.A.K.),,,KW,KWT,KUWAIT
438124,VISA,CREDIT,PLATINUM,BURGAN BANK (S.A.K.),,,KW,KWT,KUWAIT
438169,VISA,CREDIT,PLATINUM,BANQUE MISR,+20223912150,http://www.banquemisr.com,EG,EGY,EGYPT
438172,VISA,CREDIT,GOLD,BANQUE MISR,+20223912150,http://www.banquemisr.com,EG,EGY,EGYPT
438227,VISA,CREDIT,SIGNATURE,DUKHAN BANK,,,QA,QAT,QATAR
438353,VISA,CREDIT,SIGNATURE,GULF COMMERCIAL BANK,,,IQ,IRQ,IRAQ
438680,VISA,DEBIT,CLASSIC,THE GROUP FOR CARD SERVICES,,,QA,QAT,QATAR
438772,VISA,CREDIT,SIGNATURE,ARAB NATIONAL BANK,,,SA,SAU,SAUDI ARABIA
438807,VISA,DEBIT,CLASSIC,BANQUE MISR,+20223912150,http://www.banquemisr.com,EG,EGY,EGYPT
438929,VISA,DEBIT,REWARDS,COMMERCIAL BANK OF DUBAI(PSC),,,AE,ARE,UNITED ARAB EMIRATES
438980,VISA,CREDIT,CLASSIC,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES
438981,VISA,CREDIT,GOLD,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES
438982,VISA,DEBIT,CLASSIC,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES
438990,VISA,DEBIT,SIGNATURE,BAHRAIN ISLAMIC BANK BSC,,,BH,BHR,BAHRAIN
438993,VISA,DEBIT,GOLD,EMIRATES NBD,+971800456,http://www.emiratesnbd.com,AE,ARE,UNITED ARAB EMIRATES
438996,VISA,DEBIT,GOLD,BAHRAIN ISLAMIC BANK BSC,,,BH,BHR,BAHRAIN
438997,VISA,CREDIT,ULTRA HIGH NET WORTH,KHALEEJI BANK B.S.C,,,BH,BHR,BAHRAIN
